[05Mar2025 00:00:32.824] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Saniago23 moved wrongly!
[05Mar2025 00:00:33.040] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Camaila04 moved wrongly!
[05Mar2025 00:02:23.346] [pool-9-thread-1/INFO] [Supplementaries/]: Searching for closest structure among [ResourceKey[minecraft:worldgen/structure / minecraft:village_snowy], ResourceKey[minecraft:worldgen/structure / minecraft:village_plains], ResourceKey[minecraft:worldgen/structure / minecraft:village_desert], ResourceKey[minecraft:worldgen/structure / minecraft:village_taiga], ResourceKey[minecraft:worldgen/structure / minecraft:village_savanna]] from pos BlockPos{x=411, y=91, z=3141}
[05Mar2025 00:02:53.278] [Worker-Main-89/ERROR] [net.minecraft.world.entity.decoration.HangingEntity/]: Hanging entity at invalid position: BlockPos{x=202, y=47, z=211}
[05Mar2025 00:12:10.400] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Airship (vehicle of Saniago23) moved wrongly! 0.27493613442955933
[05Mar2025 00:12:17.023] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Saniago23 moved wrongly!
[05Mar2025 00:12:19.671] [Server thread/WARN] [net.minecraft.server.network.ServerGamePacketListenerImpl/]: Camaila04 moved wrongly!
[05Mar2025 00:12:46.949] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=7, y=79, z=-14}
[05Mar2025 00:14:48.553] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-10}
[05Mar2025 00:14:48.621] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-10}
[05Mar2025 00:14:48.822] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:14:48.973] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:49.136] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:49.470] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:49.544] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:49.623] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:49.799] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:50.150] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:50.521] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=74, z=-11}
[05Mar2025 00:14:54.447] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-10}
[05Mar2025 00:14:54.500] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:14:54.636] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-10}
[05Mar2025 00:14:54.689] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:15:16.972] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:17.239] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:17.422] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:17.571] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:17.739] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:17.890] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.072] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.220] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.371] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.540] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.690] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:18.871] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:19.021] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:19.189] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:19.339] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:19.521] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:23.073] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:15:23.871] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:23.971] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=75, z=-8}
[05Mar2025 00:15:24.022] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:15:24.171] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:15:24.373] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=27, y=79, z=8} BlockPos{x=13, y=76, z=-8}
[05Mar2025 00:15:26.322] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:15:26.523] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:15:26.573] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=962, y=67, z=6444} BlockPos{x=13, y=74, z=-9}
[05Mar2025 00:19:28.900] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=608, y=59, z=7666} BlockPos{x=609, y=58, z=7667}
[05Mar2025 00:19:30.598] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=610, y=57, z=7665} BlockPos{x=610, y=57, z=7663}
[05Mar2025 00:19:30.648] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=610, y=57, z=7665} BlockPos{x=610, y=57, z=7663}
[05Mar2025 00:19:30.698] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=610, y=57, z=7665} BlockPos{x=610, y=57, z=7663}
[05Mar2025 00:19:30.780] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=610, y=57, z=7665} BlockPos{x=610, y=57, z=7663}
[05Mar2025 00:19:30.798] [Server thread/WARN] [net.minecraft.server.level.ServerPlayerGameMode/]: Mismatch in destroy block pos: BlockPos{x=610, y=57, z=7665} BlockPos{x=610, y=57, z=7663}
